Date;S (EUR)
14/03/2025;155.4931677
13/03/2025;154.654049
12/03/2025;155.7943216
11/03/2025;156.1954583
10/03/2025;159.286895
07/03/2025;159.7600953
06/03/2025;159.6730986
05/03/2025;157.6922885
04/03/2025;158.3337686
03/03/2025;155.9373837
28/02/2025;158.20202
27/02/2025;155.7411843
26/02/2025;156.2261819
25/02/2025;155.9109828
24/02/2025;156.2243119
21/02/2025;158.4223167
20/02/2025;157.7472608
19/02/2025;158.8360277
18/02/2025;155.9862969
17/02/2025;160.8200904
14/02/2025;162.0132018
13/02/2025;161.0442465
12/02/2025;160.1430139
11/02/2025;160.9527286
10/02/2025;162.4799989
07/02/2025;161.4489751
06/02/2025;162.2280684
05/02/2025;164.4545893
04/02/2025;163.5853324
03/02/2025;162.8528689
31/01/2025;162.9048605
30/01/2025;166.2724992
29/01/2025;166.4952187
28/01/2025;166.2621408
27/01/2025;168.1077032
24/01/2025;167.2336756
23/01/2025;164.3982953
22/01/2025;161.7322849
21/01/2025;163.141481
20/01/2025;164.063627
17/01/2025;164.1881991
16/01/2025;163.720777
15/01/2025;164.962551
14/01/2025;163.8499213
13/01/2025;162.0896868
10/01/2025;162.3197237
09/01/2025;162.8696992
08/01/2025;162.6382414
07/01/2025;164.8276145
06/01/2025;164.977237
03/01/2025;166.0111054
02/01/2025;166.9069968
30/12/2024;167.1692197
27/12/2024;165.1285904
23/12/2024;164.3242708
20/12/2024;163.4674499
19/12/2024;161.7505691
18/12/2024;160.3895066
17/12/2024;159.9556787
16/12/2024;159.4229183
13/12/2024;161.8367548
12/12/2024;165.9058962
11/12/2024;164.8226289
10/12/2024;165.3531347
09/12/2024;166.2170297
06/12/2024;163.2328767
05/12/2024;164.3119037
04/12/2024;162.3697219
03/12/2024;164.5555894
02/12/2024;167.3665474
29/11/2024;168.7964456
28/11/2024;164.1958408
27/11/2024;161.6570043
26/11/2024;159.6713743
25/11/2024;158.5675487
22/11/2024;156.039968
21/11/2024;156.3381343
20/11/2024;158.2620031
19/11/2024;158.1642851
18/11/2024;159.6968605
15/11/2024;160.10992
14/11/2024;159.8133977
13/11/2024;160.4097194
12/11/2024;158.9488826
11/11/2024;160.2514381
08/11/2024;160.5933966
07/11/2024;160.4367978
06/11/2024;160.2558888
05/11/2024;162.3614908
04/11/2024;162.1118712
02/11/2024;0.1
01/11/2024;164.8894095
31/10/2024;166.0148498
30/10/2024;165.1538768
29/10/2024;166.4032699
28/10/2024;167.9778293
25/10/2024;169.3539177
24/10/2024;165.8889297
23/10/2024;165.3865964
22/10/2024;164.1072075
21/10/2024;162.2239218
18/10/2024;165.3773111
17/10/2024;164.7600098
16/10/2024;161.2090217
15/10/2024;161.6673655
14/10/2024;159.1369854
11/10/2024;159.834323
10/10/2024;160.3515422
09/10/2024;158.9324798
08/10/2024;160.0341611
07/10/2024;160.5609428
04/10/2024;162.1828831
03/10/2024;164.9584241
02/10/2024;163.6257285
01/10/2024;160.595393
30/09/2024;160.6926402
27/09/2024;158.4544454
26/09/2024;156.3808648
25/09/2024;155.185371
24/09/2024;153.9062558
23/09/2024;154.2134446
20/09/2024;156.4366061
19/09/2024;156.7532375
18/09/2024;156.6304024
17/09/2024;157.6116541
16/09/2024;156.9912943
13/09/2024;156.5665759
12/09/2024;156.7802336
11/09/2024;158.1608898
10/09/2024;158.8307394
09/09/2024;156.1746002
06/09/2024;157.9408909
05/09/2024;158.8215847
04/09/2024;160.7756543
03/09/2024;159.5314074
02/09/2024;161.2205821
30/08/2024;158.9785416
29/08/2024;159.2600245
28/08/2024;157.7666466
27/08/2024;156.2092149
26/08/2024;154.2999601
23/08/2024;155.4609236
22/08/2024;155.6511861
21/08/2024;155.1304459
20/08/2024;154.9982643
19/08/2024;156.0467684
16/08/2024;155.6397748
15/08/2024;156.721171
14/08/2024;155.9058596
13/08/2024;156.6735518
12/08/2024;154.9831651
09/08/2024;152.0789583
08/08/2024;154.5753261
07/08/2024;153.5473027
06/08/2024;151.0085155
05/08/2024;151.7353932
02/08/2024;153.2847985
01/08/2024;154.6106994
31/07/2024;155.9851233
30/07/2024;157.9290071
29/07/2024;158.2860022
26/07/2024;160.7468398
25/07/2024;159.3099287
24/07/2024;156.8836996
23/07/2024;154.644782
22/07/2024;154.9627965
19/07/2024;153.6821089
18/07/2024;154.7677658
17/07/2024;155.8139768
16/07/2024;154.6615885
15/07/2024;156.4800389
12/07/2024;157.7964725
11/07/2024;160.7653985
10/07/2024;162.7708365
09/07/2024;162.4783332
08/07/2024;163.8996665
05/07/2024;164.6910199
04/07/2024;165.6999163
03/07/2024;169.1471529
02/07/2024;170.7314212
01/07/2024;168.7414512
28/06/2024;166.4475897
27/06/2024;166.6808856
26/06/2024;165.3653327
25/06/2024;165.6199135
24/06/2024;164.9650638
21/06/2024;162.6761313
20/06/2024;161.8630662
19/06/2024;161.4991488
18/06/2024;158.9611858
17/06/2024;157.6552087
14/06/2024;157.1093485
13/06/2024;159.1016649
12/06/2024;159.0665951
11/06/2024;157.3062639
10/06/2024;157.8461831
07/06/2024;156.3781713
06/06/2024;152.479969
04/06/2024;153.5120188
03/06/2024;151.9047352
31/05/2024;150.6783877
30/05/2024;150.8467597
29/05/2024;148.0102956
28/05/2024;145.8813845
27/05/2024;145.6033258
24/05/2024;144.3001394
23/05/2024;146.586295
22/05/2024;146.2234541
21/05/2024;145.1659664
17/05/2024;143.8360633
16/05/2024;143.1738667
15/05/2024;143.7924314
14/05/2024;143.5874815
13/05/2024;144.1926771
08/05/2024;144.5162332
07/05/2024;146.7029872
06/05/2024;146.9338569
03/05/2024;148.6505749
02/05/2024;147.1711502
01/05/2024;146.7594134
30/04/2024;142.8369468
29/04/2024;143.0615879
26/04/2024;143.1010923
25/04/2024;140.8494101
24/04/2024;141.3164561
23/04/2024;141.8473815
22/04/2024;139.8607257
19/04/2024;139.5401439
18/04/2024;137.8696793
17/04/2024;138.2435746
16/04/2024;138.0780587
15/04/2024;138.3571394
12/04/2024;137.2061885
11/04/2024;137.0173274
10/04/2024;137.4386977
09/04/2024;135.9144448
08/04/2024;134.9073369
05/04/2024;133.7840565
04/04/2024;136.4846387
03/04/2024;135.9009712
02/04/2024;135.9721138
27/03/2024;133.1343248
26/03/2024;131.2528618
25/03/2024;130.0799817
22/03/2024;129.9639334
21/03/2024;131.0509993
20/03/2024;131.3536194
19/03/2024;130.9647028
18/03/2024;130.4334739
15/03/2024;132.2864873
14/03/2024;133.4653846
13/03/2024;134.2737759
12/03/2024;133.8991231
11/03/2024;135.2313057
08/03/2024;135.475095
07/03/2024;135.3442801
